Dasyprocta leporina,Dasyprocta,leporina,JAGUARS,M5324,Das_lep_M5324_skull_1575_1764_3254_00448161.resampled.lmk
Dendromus mystacalis,Dendromus,mystacalis,NHMUK,1975.3181,DENmys_NHMUK_1975_3181.lmk
Deomys ferrugineus,Deomys,ferrugineus,MNHN-ZM-MO,1996-709,Deo_fer_MNHN_1996_709_skull_1628_1600_2573_00150375.resampled.lmk
Dicrostonyx groenlandicus,Dicrostonyx,groenlandicus,NHMUK,1995.14,Dicrostonyx_NHM_1995_14_skull.resampled.lmk
Dinaromys bogdanovi,Dinaromys,bogdanovi,MNHN-ZM-MO,HERREL,Din_spce_Herrel_skull_1759_1759_3441_00150362.resampled.lmk
Dipodomys merriami,Dipodomys,merriami,UWBM,37549,DIPmerr_UWBM37549.lmk
Dipodomys sp,Dipodomys,sp,CBUN,2,Dipodomys_sp_CSB2.lmk
Dolichotis patagonum,Dolichotis,patagonum,UM-ZOOL,3108,Dol_pat_THOIRY01_skull_1474_1470_2737_00462573.resampled.lmk
Eliomys quercinus,Eliomys,quercinus,CBUN,MC88,Eliomys_quercinus_MC88_skull_2889_1560_1411_00131954.resampled.lmk
Eliomys quercinus,Eliomys,quercinus,UM,25111971,Eliomys_quercinus_UM_2511_1971_skull_617_594_1220_0.030071_16b_be.lmk
Eliurus majori,Eliurus,majori,FMNH,165986,Eliurus_majori_FMNH_165986_skull_2287_1601_1647_00181948.resampled.lmk
Ellobius talpinus,Ellobius,talpinus,CBUN,FV15,Ellobius_FV15_skull_1694_1497_2358_00135168.resampled.lmk
Eospalax fontanierii,Eospalax,fontanierii,NHMUK,1909.1.1.286,Myospalax_cunsus_NHM_9_1_1_286_skull_1641_1601_2330_00194315.resampled.lmk
Euryzygomatomys spinosus,Euryzygomatomys,spinosus,NHMUK,9.11.19.29-31,Eur_spi_NHM_9_11_19_29_31_skull_1522_1858_2483_00178966.resampled.lmk
Exilisciurus whiteheadi,Exilisciurus,whiteheadi,NHMUK,1895.10.4.40,EXIwhi_NHMUK_95-10-4-40.lmk
Felovia vae,Felovia,vae,NHMUK,1991.99,Felovia_vae_NHM_91_199_skull_1642_1216_2491_00178163.resampled.lmk
