"","DM","ePT","iPT","SM","T","ZM"
"Fukomys mechowii Fmech CB_828.",1.07615,0.13035,0.2053,1.048,0.62045,0.38855
"Fukomys mechowii Fmech Transp. 4372",1.3032,0.0802,0.2818,1.25045,1.0718,0.53215
"Fukomys micklemi Fmick 809. Transp. 7571",0.55675,0.0537,0.1138,0.66305,0.46685,0.18615
"Fukomys micklemi Fmick 828. Transp. 0774",0.5095,0.03625,0.0949,0.4727,0.4299,0.1781
"Fukomys micklemi Fmick 842. Transp. 7689 right",0.2306,0.01935,0.058,0.24075,0.1823,0.0941
"Fukomys micklemi Fmick 882. Transp. 6739 right",0.611,0.0593,0.1393,0.64915,0.4488,0.24285
"Georychus capensis GC 11",1.0666,0.0687,0.1693,0.9682,0.7988,0.36225
"Georychus capensis GC14",0.4577,0.0992,0.1524,0.6098,0.4556,0.1948
"Georychus capensis GC18",0.8406,0.091,0.2205,0.7127,0.6567,0.35025
"Georychus capensis GC5",1.60325,0.2538,0.3088,1.43755,0.86245,0.5364
"Georychus capensis GC8",0.9532,0.09315,0.23595,1.04625,0.6038,0.28455
"Heliophobius argentioneocerus Harg M5X205",0.5805,0.15685,0.0611,0.53515,0.6641,0.3277
"Heliophobius argentioneocerus Harg MOX016",0.54195,0.08085,0.1454,0.4199,0.63675,0.1301
"Heliophobius argentioneocerus MOX027",0.5801,0.03325,0.15165,0.48315,0.74895,0.3002
"Heterocephalus glaber Hglab 545.",0.0902,0.01865,0.01175,0.08395,0.058,0.03485
"Heterocephalus glaber Hglab 584. Transp. 8446",0.1216,0.01545,0.02115,0.1554,0.16325,0.0447
"Heterocephalus glaber Hglab Transp. 8531",0.21265,0.0191,0.02285,0.19595,0.19795,0.05895
"Heteromys desmarestianus NHM 2003.221",0.1193,0.0105,0.0071,0.0176,0.0244,0.0077
"Hydromys chrysogaster obi YS 342",0.3038,0.123,0.0688,0.3333,0.4289,0.1934
"Hydromys chrysogaster obi YS 391",0.3106,0.1342,0.0678,0.4243,0.4597,0.1395
"Hydromys chrysogaster papua PAO 024",0.3654,0.172,0.0737,0.388,0.3733,0.1322
"Hydromys chrysogaster papua PAO 102",0.3135,0.1406,0.0611,0.5302,0.5434,0.1893
"Hyorhinomys stuempkei NMVC 37198",0.161,0.0356,0.0799,0.0257,0.0735,0.068
"Lophiomys imhausi kenya",0.05644,0.0222,0.02034,0.12006,0.09049,0.03729
"Maxomys alticola BOR200",0.0735,0.0188,0.0195,0.0402,0.0541,0.0227
"Maxomys surifer 7191",0.2016,0.0084,0.0486,0.1279,0.0999,0.0822
"Maxomys surifer 7192",0.2204,0.0298,0.025,0.1087,0.0822,0.0732
"Maxomys surifer 7193",0.1847,0.0249,0.0579,0.098,0.0722,0.0492
"Maxomys surifer 7194",0.2343,0.05,0.0769,0.103,0.1068,0.0757
"Melomys obiensis YS 360",0.1567,0.0414,0.0195,0.0961,0.1069,0.0581
"Meriones shawi MNHN-ZM-MO CG 1993-2269",0.1361,0.0175,0.0309,0.0478,0.0389,0.0508
"Mus caroli 7195",0.0167,0.0012,0.0043,0.0086,0.0087,0.004
"Mus caroli 7225",0.0201,0.0022,0.0049,0.012,0.0118,0.005
"Mus cervicolor 7313",0.013,0.0016,0.0056,0.0092,0.0065,0.0028
"Mus cervicolor 7314",0.0228,0.0044,0.0103,0.0152,0.0159,0.0064
"Mus cookii 7238",0.0217,0.0036,0.0039,0.0136,0.0118,0.0064
"Mus pahari PAH 54_9",0.0351,0.0037,0.0113,0.0272,0.0187,0.0109
"Niviventer fulvescens 7198",0.1811,0.022,0.033,0.0984,0.0631,0.0475
"Niviventer fulvescens 7200",0.1262,0.0096,0.0127,0.059,0.0415,0.0321
"Niviventer fulvescens 7240",0.1453,0.0344,0.0534,0.0821,0.072,0.0433
"Niviventer fulvescens 7245",0.1345,0.0187,0.0457,0.0845,0.0794,0.0506
"Niviventer fulvescens 7246",0.1466,0.017,0.0349,0.091,0.0835,0.0681
"Paucidentomys vermidax hh766",0.0345,0.0216,0.015,0.0134,0.0252,0.0056
"Pogonomys sp. CBUN MW-1200-027",0.1333,0.0257,0.0308,0.0674,0.0987,0.0443
"Protoxerus stangeri RMCA 1980.036.M.0054",1.9999,0.1359,0.2918,1.1245,1.3586,0.288
"Rattus andamanensis 7216",0.3777,0.0736,0.1175,0.1905,0.2699,0.1165
"Rattus exulans 7288",0.047,0.0046,0.0084,0.0173,0.0229,0.0105
"Rattus exulans 7298",0.0518,0.0077,0.0124,0.0234,0.0284,0.014
"Rattus exulans 7306",0.0386,0.005,0.0078,0.0193,0.023,0.0111
"Rattus fuscipes MV C17053",0.1554,0.029,0.0494,0.087,0.1154,0.0603
"Rattus tanezumi 7206",0.1219,0.0119,0.0268,0.0754,0.054,0.0316
"Rattus tanezumi 7208",0.097,0.016,0.0279,0.0522,0.0524,0.029
"Rattus tanezumi 7217",0.1338,0.0141,0.0371,0.0896,0.0678,0.0334
"Rattus tanezumi 7257",0.1591,0.0146,0.0276,0.093,0.0857,0.0693
"Rattus tanezumi 7270",0.2143,0.0104,0.018,0.0982,0.1138,0.0416
"Rattus tanezumi 7273",0.2962,0.0269,0.0258,0.1567,0.1749,0.0747
"Rattus tanezumi 7284",0.2088,0.0231,0.068,0.0961,0.1139,0.0582
"Rattus tanezumi 7302",0.2169,0.0227,0.0724,0.1267,0.158,0.0628
"Rattus tanezumi OBI MZB",0.3233,0.0192,0.0805,0.1321,0.2172,0.1325
