Clade,Family,Subfamily,Species,Collection,Specimen number,Muscles dataset,Landmarks dataset,Life style
Supramyomorpha,Dipodidae,Sicistinae,Sicista betulina,University of South Bohemia,CBUN unregistered,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Sigmodon hispidus,Muséum d’Histoire Naturelle de Bourges,MNHN 2000-231,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Sommeromys macrorhinos,?,kcr2596,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Sommeromys macrorhinos,?,kcr2644,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Soricomys leonardocoi,Field Museum of Natural History (Chicago),FMNH 190966,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Soricomys leonardocoi,Field Museum of Natural History (Chicago),FMNH 190967,YES,NO,terrestrial
Hystricomorpha,Octodontidae,,Spalacopus cyanus,University of South Bohemia,CBUN SC2ID1,YES,YES,subterranean (C)
Supramyomorpha,Spalacidae,Spalacinae,Spalax sp.,University of South Bohemia,CBUN ISR007,YES,YES,subterranean (C)
Supramyomorpha,Spalacidae,Spalacinae,Spalax sp.,University of South Bohemia,CBUN 961,YES,YES,subterranean (C)
Supramyomorpha,Nesomyidae,Dendromurinae,Steatomys caurinus,Royal Museum for Central Africa (Tervuren),RMCA 1993.012.M0353,YES,YES,terrestrial
Supramyomorpha,Nesomyidae,Dendromurinae,Steatomys parvus,University of South Bohemia,CBUN RS0977,YES,YES,terrestrial
Supramyomorpha,Nesomyidae,Dendromurinae,Steatomys parvus,University of South Bohemia,CBUN RS0713,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Stenocephalemys albipes,University of South Bohemia,CBUN ETH1426,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Stenocephalemys sp.,University of South Bohemia,CBUN ETH1371,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Stenomys sp.,?,MV C2104,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Stochomys longicaudatus,Muséum National d’Histoire Naturelle (Paris),MNHN 2000-288,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Sundamys infraluteus,?,EBD BORN272,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Sundamys infraluteus,?,BORN282,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Sundamys infraluteus,?,BORN510,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Sundamys muelleri,?,EBD BORN424,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Sundamys muelleri,?,BORN031,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Sundamys muelleri,?,BORN173,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Sundamys muelleri,?,BORN567,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Sundamys muelleri,?,BORN572,NO,YES,terrestrial
Sciuromorpha,Sciuridae,Callosciurinae,Sundasciurus philippinensis,Field Museum of Natural History (Chicago),FMNH 208786,YES,YES,terrestrial
Supramyomorpha,Spalacidae,Tachyoryctinae,Tachyoryctes splendens,University of South Bohemia,CBUN ID588,NO,YES,subterranean (C)
Supramyomorpha,Spalacidae,Tachyoryctinae,Tachyoryctes splendens,Royal Museum for Central Africa (Tervuren),RMCA 1980.055.M.0189,YES,NO,subterranean (C)
Sciuromorpha,Sciuridae,Xerinae,Tamias minimus,Burke Museum of Natural History and Culture (Seattle),UWBM 74537,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Callosciurinae,Tamiops maritimus,Natural History Museum (London),NHM 2022.5.4,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Tarsomys apoensis,Field Museum of Natural History (Chicago),FMNH 147968,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Tateomys rhinogradoides,American Museum of Natural History (New York),AMNH 223968,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Tateomys rhinogradoides,?,hh780,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Tateomys rhinogradoides,?,hh821,YES,NO,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Thomasomys sp.,?,MUSM 40832,YES,NO,NA
Supramyomorpha,Geomyidae,,Thomomys talpoides,?,FU23CB,YES,YES,subterranean (C)
Hystricomorpha,Echimyidae,Eumysopinae,Thrichomys laurentius,Natural History Museum (London),NHM 3.10.1.118-221,YES,YES,terrestrial
Hystricomorpha,Thryonomyidae,,Thryonomys swinderianus,Muséum National d’Histoire Naturelle (Paris),MNHN 1996-41,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Tylomyinae,Tylomys watsoni,National Museum of Natural History (Washington DC),USNM 460459,YES,YES,arboreal
Supramyomorpha,Platacanthomyidae,,Typhlomys cinereus,?,RUS 101505,NO,YES,arboreal
Supramyomorpha,Muridae,Deomyinae,Uranomys ruddi,Muséum National d’Histoire Naturelle (Paris),MNHN 1996-2080,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Xerinae,Urocitellus richardsonii,Natural History Museum (London),NHM 1893.1.5.1,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Vandeleuria oleracea,Université de Montpellier,THAILAND no number,YES,NO,arboreal
Sciuromorpha,Sciuridae,Xerinae,Xerus erythropus,Natural History Museum (London),NHM 1922.3.3.11,YES,YES,burrower
Supramyomorpha,Muridae,Murinae,Zelotomys woosnami,Natural History Museum (London),NHM 1910.6.3.86,YES,YES,terrestrial
Supramyomorpha,Cricetidae,Sigmodontinae,Zygodontomys brevicauda,?,JAGUARS M1376,YES,YES,terrestrial
